,agg_mode,ViT_block,invariance_score
0,CLS_feats,blocks.0,tensor(0.9999)
1,CLS_feats,blocks.1,tensor(0.9995)
2,CLS_feats,blocks.2,tensor(0.9992)
3,CLS_feats,blocks.3,tensor(0.9990)
4,CLS_feats,blocks.4,tensor(0.9988)
5,CLS_feats,blocks.5,tensor(0.9986)
6,CLS_feats,blocks.6,tensor(0.9985)
7,CLS_feats,blocks.7,tensor(0.9978)
8,CLS_feats,blocks.8,tensor(0.9964)
9,CLS_feats,blocks.9,tensor(0.9952)
10,CLS_feats,blocks.10,tensor(0.9943)
11,CLS_feats,blocks.11,tensor(0.9940)
12,linear,classifier,tensor(0.9967)
